Rank,Previous Rank,Player,Position,Team,Price,Shirt points,Shirt count,Sprint points,Sprint count,Climb points,Climb count,Placement points,Placement count,Bought,Sold,Points
75,75,Michael Storer,youth,Groupama - FDJ,4.5,0.00,0,48.00,2,12.00,1,304.00,21,5843,4353,364.00
77,77,EF Education - EasyPost,manager,EF Education - EasyPost,8.1,0.00,0,0.00,0,0.00,0,360.00,5,2340,1772,360.00
78,78,Pierre Latour,captain,TotalEnergies,6.7,0.00,0,26.00,3,210.00,6,122.00,21,16229,9718,358.00
79,79,Maximilian Schachmann,support,Bora - Hansgrohe,7,0.00,0,44.00,2,0.00,0,308.00,21,3196,2328,352.00
79,79,Stan Dewulf,support,AG2R Citroën Team,4.3,0.00,0,148.00,3,0.00,0,164.00,21,145,71,352.00
81,81,Patrick Konrad,climber,Bora - Hansgrohe,5.6,0.00,0,42.00,2,9.00,1,300.00,21,2788,2234,351.00
82,82,Mikkel Bjerg,youth,UAE Team Emirates,5.4,0.00,0,56.00,4,0.00,0,152.00,21,5873,4524,328.00
83,83,Bauke Mollema,climber,Trek - Segafredo,6.9,0.00,0,0.00,0,0.00,0,294.00,21,5380,3979,324.00
83,83,Marc Soler,climber,UAE Team Emirates,6.2,0.00,0,30.00,2,9.00,1,225.00,15,1016,819,324.00
85,85,Intermarche - Wanty - Gobert Materiaux,manager,Intermarche - Wanty - Gobert Materiaux,7.8,0.00,0,0.00,0,0.00,0,320.00,4,1418,1028,320.00
85,85,Sven Erik Bystrøm,support,Intermarche - Wanty - Gobert Materiaux,4.5,0.00,0,96.00,2,0.00,0,124.00,21,1882,1221,320.00
87,87,Hugo Hofstetter,sprinter,Team Arkéa Samsic,7.9,0.00,0,0.00,0,0.00,0,318.00,21,286,200,318.00
88,88,Stefan Bissegger,youth,EF Education - EasyPost,6,0.00,0,92.00,2,24.00,2,156.00,21,17659,11839,312.00
88,88,Mathieu Burgaudeau,youth,TotalEnergies,4.9,0.00,0,96.00,3,0.00,0,216.00,21,354,247,312.00
90,90,Krists Neilands,support,Israel - Premier Tech,5.2,0.00,0,68.00,1,0.00,0,160.00,21,203,116,308.00
91,91,Steven Kruijswijk,climber,Jumbo - Visma,7.5,0.00,0,36.00,2,0.00,0,180.00,14,846,674,306.00
92,92,Georg Zimmermann,youth,Intermarche - Wanty - Gobert Materiaux,4.5,0.00,0,8.00,1,0.00,0,296.00,21,1425,902,304.00
93,93,Nathan van Hooydonck,tempo,Jumbo - Visma,5.5,0.00,0,69.00,4,0.00,0,84.00,19,551,417,303.00
94,94,Mathieu van der Poel,support,Alpecin - Fenix,8,0.00,0,68.00,1,0.00,0,232.00,10,19955,16664,300.00
95,95,Andreas Leknessund,youth,Team DSM,4.8,0.00,0,0.00,0,0.00,0,296.00,21,13804,6658,296.00
96,96,Tony Gallopin,support,Trek - Segafredo,4.8,0.00,0,72.00,2,0.00,0,180.00,21,643,414,292.00
97,97,Alexander Krieger,support,Alpecin - Fenix,4.6,0.00,0,44.00,1,0.00,0,164.00,21,299,97,288.00
98,98,Chris Juul-Jensen,support,Team BikeExchange - Jayco,4.2,0.00,0,100.00,3,12.00,1,92.00,21,536,357,284.00
99,99,Caleb Ewan,sprinter,LOTTO Soudal,10.5,0.00,0,66.00,3,0.00,0,210.00,21,2963,2304,276.00
99,99,Edward Planckaert,support,Alpecin - Fenix,4.4,0.00,0,80.00,3,0.00,0,116.00,21,188,106,276.00
101,101,Philippe Gilbert,support,LOTTO Soudal,6.9,0.00,0,136.00,4,0.00,0,132.00,21,1658,988,268.00
102,102,Matej Mohorič,support,Bahrain Victorious,7.5,0.00,0,112.00,2,12.00,1,140.00,21,9896,7803,264.00
102,102,Damiano Caruso,climber,Bahrain Victorious,7,0.00,0,0.00,0,18.00,1,246.00,17,1710,1406,264.00
102,102,Gregor Mühlberger,support,Movistar Team,5.5,0.00,0,40.00,1,0.00,0,224.00,21,177,116,264.00
102,102,Guillaume van Keirsbulck,support,Alpecin - Fenix,4,0.00,0,84.00,5,0.00,0,100.00,21,351,176,264.00
106,106,Felix Großschartner,climber,Bora - Hansgrohe,5.5,0.00,0,45.00,1,0.00,0,216.00,21,4054,3406,261.00
107,107,Silvan Dillier,support,Alpecin - Fenix,4.5,0.00,0,36.00,1,0.00,0,144.00,21,233,121,260.00
